,Gaming PC Make & Model,Priced 
0,ANT PC Intel i5 12400F (16 GB RAM/Nvidia RTX 3050 8GB G...,"₹74,990"
1,ASUS Intel Core i5 (8 GB RAM/NVIDIA GeForce GTX1660TI G...,"₹91,990"
2,ZOONIS i7-3700(3rd Generation) (16 GB RAM/2 GB GT-710 W...,"₹29,924"
3,ZOONIS Intel Core i5-4420 (16 GB RAM/4GB Radeon Rx 550 ...,"₹37,999"
4,ANT PC Intel i5 12400F (8 GB RAM/Nvidia RTX 3060 Graphi...,"₹79,990"
5,ANT PC Intel i3 12100F (8 GB RAM/Nvidia GTX 1650 4GB Gr...,"₹45,990"
6,ASUS Core i5-11400F (8 GB RAM/NVIDIA GeForce GTX1650 Gr...,"₹74,490"
7,MSI Core i5-12400F (8 GB RAM/RTX 3050 VENTUS 2X Graphic...,"₹82,990"
8,ASUS Ryzen 7 5800X (16 GB RAM/NVIDIA GeForce RTX 3070 G...,"₹2,09,990"
9,ASUS Ryzen 7-3700X (8 GB RAM/NVIDIA GeForce RTX 2060S G...,"₹1,28,990"
10,ASUS Ryzen 5 (3600X) (8 GB RAM/NVIDIA GeForce GTX 1660 ...,"₹85,490"
11,ASUS Core i5 (10400F) (8 GB RAM/NVIDIA GeForce GTX1660T...,"₹88,990"
12,ASUS Ryzen 7 5800X (16 GB RAM/NVIDIA GeForce RTX3070 Gr...,"₹1,74,990"
13,ASUS AMD Ryzen 7 Octa Core (16 GB RAM/NVIDIA GeForce RT...,"₹1,85,990"
14,ZOONIS I7 2600 (8 GB RAM/4GB GT730 Graphics/500 Hard Di...,"₹39,424"
15,Electrobot AMD Ryzen 5 5600G (16 GB RAM/Integrated AMD ...,"₹53,999"
16,MSI Core i7-12700F (16 GB RAM/RTX 3070 LHR Graphics/1 T...,"₹2,16,000"
17,Electrobot Ryzen 3 3200G (16 GB RAM/Radeon Vega 8 Graph...,"₹34,999"
18,MSI Core i7 11Gen (11700F) (16 GB RAM/Nvidia GeForce RT...,"₹1,46,990"
19,Enter INTEL CORE i7-860 (8 GB RAM/GT730DDR5 Graphics/50...,"₹22,704"
20,HP Core i7 (32 GB RAM/NVIDIA GeForce RTX 3070 Ti Graphi...,"₹1,99,999"
21,ASUS Ryzen 5 5600X (8 GB RAM/NVIDIA GeForce GTX1650 Gra...,"₹85,790"
22,ASUS Ryzen 7 (3800X) (16 GB RAM/NVIDIA GeForce RTX 2060...,"₹1,84,990"
23,"Punta 6th Generation Core™ i5 Processors,Cores 4 ,Threa...","₹27,549"
24,MSI R5-5600G (8 GB RAM/NA Graphics/540 GB SSD Capacity/...,"₹57,990"
25,ZOONIS i5-4440(4th Generation for Best Gaming Experienc...,"₹37,049"
26,HP Core i5 (16 GB RAM/NVIDIA GeForce RTX 3060 Graphics/...,"₹95,590"
27,HP Core i7 (16 GB RAM/NVIDIA GeForce RTX 3070 Graphics/...,"₹1,49,999"
28,brozzo I5 3270 (8 GB RAM/2GB GT 710 Graphics/500 GB Har...,"₹23,749"
29,HP Core i7 (32 GB RAM/NVIDIA GeForce RTX 3080 Graphics/...,"₹2,19,999"
30,MSI 12700k (16 GB RAM/RTX 3070 LHR Graphics/1 TB SSD Ca...,"₹2,76,000"
31,HP Core i7 (16 GB RAM/NVIDIA GeForce RTX 3060 Ti Graphi...,"₹1,46,195"
32,MSI Core i5-12400F (8 GB RAM/GTX 1660 SUPER VENTUS XS G...,"₹1,09,500"
33,ASUS AMD Ryzen 7-3700X (16 GB RAM/NVIDIA GeForce RTX 20...,"₹1,30,990"
34,MSI Core i5 11Gen (11400F) (16 GB RAM/Nvidia GeForce RT...,"₹1,26,990"
35,HP Core i7 (16 GB RAM/NVIDIA GeForce RTX 3060 Ti Graphi...,"₹1,19,990"
36,MSI Core i5-11400F (16 GB RAM/RTX 3060 AERO ITX 12G Gra...,"₹1,31,490"
37,HP AMD Ryzen 7 Octa Core (16 GB RAM/NVIDIA GeForce RTX ...,"₹1,25,142"
38,ASUS Ryzen 5 5600X (8 GB RAM/NVIDIA GeForce GTX1650 Gra...,"₹91,990"
39,ZOONIS i7-4440(4th Generation) With 256gb SSD (16 GB RA...,"₹48,924"
